STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18460,A18460,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,10,541410,65520,450970,13280,498670,32860,497650,61450,1427720,535650,0,0,0,0,0,440,206250,1782809578,541410,1795832495,441970,516563567,526450,53706815,476570,124393219,462900,98415708,260350,11020469,152530,30928359,493720,576374373,148070,14565971,17980,2850,20658,103830,3253587,395550,373569974,283180,13022917,2930,723,71660,4492559,140570,2440926,12850,130111,0,0,121050,2750545,121050,2678391,34370,72143,420340,124939237,2250,267902,338790,78782670,76620,1045208,381840,10157613,406120,4002693,419470,9868232,123980,174798,283740,6461394,10640,211678,28260,14639,171490,15318985,404520,85014350,84350,8384469,337820,52782075,541010,1602677225,541050,464393435,71950,2156607,710,6478,396010,18913700,352000,14886042,26220,16900,0,0,0,0,0,0,5070,72794,202190,5090026,0,0,840,7348,2630,15790,536020,504848538,0,0,0,0,0,0,0,0,0,0,539560,445479887,540960,477029988,370380,4508280,499580,21709141,228910,43157924,309850,69577384,92470,12440814,243750,57136570
AL,0,2062260,866800,756460,394920,1869970,98020,1139520,1368660,4079920,1387500,46890,26320,4530,16050,7530,401670,515560,124429467,2055080,125765499,1707060,87302049,538670,1003143,275060,2206946,253270,1711272,282380,388941,360450,3270850,238770,5545495,498580,14463033,44080,39500,115403,320100,4667722,97190,7349055,452080,1336032,45540,11711,6750,156949,41260,330104,24740,117174,137010,147777,1860720,32121234,1860720,31498227,319080,623007,176280,6262431,55990,817609,141500,1198748,30010,54925,145270,347864,159650,982598,174700,1085138,119510,54080,129230,1297268,2930,19520,7690,5572,9240,114274,158810,2557754,11060,309896,202680,1604447,1564400,88281157,1563670,14622517,1770,25459,41630,54710,781170,1487234,72170,90179,99670,56639,130300,135320,147670,28424,567780,1059561,13550,26132,252960,695945,89880,807409,98130,874995,33330,26587,1963940,17858210,481700,1348916,440540,1208285,365070,631817,124150,112599,31580,25813,1275570,13135291,1419920,14157459,30660,53097,39170,159933,392950,1813468,1614840,5475348,1581610,4784667,41780,690684
AL,1,25200,13350,9840,1080,18510,3560,16870,6790,39840,5930,400,240,0,160,0,980,13180,-1659210,18020,-1638235,4950,196575,7940,36358,4310,33120,3950,23506,780,2525,9670,-179923,6020,105937,4680,77697,3100,110,428,60,232,4350,-415897,4310,20975,110,28,40,382,1240,7949,120,703,680,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,2106,50,1759,960,283,160,97,0,0,0,0,30,13,10,8,110,63,0,0,2820,7935,4280,48898,4540,49741,10,7,11830,57798,1690,2126,970,1312,830,1710,1230,1156,2250,2318,940,2009,4180,11395,120,163,0,0,2620,5378,10840,51760,10240,40837,770,10923
AL,2,257170,202070,22450,29260,226640,16050,122160,156490,253940,61920,9210,5710,390,3110,2510,36990,46740,1396447,257170,1426003,197920,1133214,32030,17368,15410,20683,14050,13980,1900,1194,39460,117031,13210,11319,29790,165777,2210,2770,6930,730,3112,2630,-10066,35570,29556,310,70,40,206,2430,8730,380,1341,3000,2755,254530,2880601,254530,2816704,34850,63897,2620,51444,2050,32482,840,1593,1270,924,1210,2106,2000,3599,2410,4430,1000,284,1090,8851,30,407,40,79,60,214,1540,2622,90,1533,420,238,6210,13472,6710,2193,10,11,2980,1242,1420,323,600,27,20,5,190,63,70,19,510,196,10,6,31650,24451,12510,122964,13300,127799,100,57,221010,223868,87500,111994,77890,99435,29120,20997,11630,10253,5600,3603,6020,1870,39540,27248,0,0,0,0,21190,10489,209970,207106,209030,204446,1160,2660
AL,3,511120,264710,68640,169360,470330,20830,277020,403390,926390,378090,16330,10440,660,5230,3480,156440,99390,8725288,511120,8839610,413490,6964497,58780,44977,23640,49117,21030,32849,7630,4389,100030,603569,19070,38260,84130,1024202,4920,13180,36655,39030,73456,5490,3607,95950,114322,2380,558,100,477,4650,16871,2020,6169,14190,12344,502940,7886073,502940,7752274,72110,133799,8150,173447,6450,98589,3200,4666,3930,3879,3910,5310,6510,12246,7720,15846,3810,1499,3500,25256,100,1121,130,159,100,384,5910,23701,470,5209,20140,12539,295250,1537776,296660,159079,50,157,11710,4475,138100,48121,1910,99,9000,3104,26380,12033,37020,6593,73610,25507,1130,657,76850,125988,36610,318527,38230,326655,9720,5530,484950,1734145,247450,917102,231350,825459,177550,306003,35540,32792,13980,9304,187060,110958,259600,245631,30,34,0,0,38510,40157,459690,1527060,457960,1522487,2370,4574
AL,4,503490,224580,129710,132910,457450,22150,266760,371270,977470,348230,12970,7710,960,4300,1530,123290,112600,18157001,503490,18323972,432210,14984025,91190,72378,37950,93954,33960,65087,34790,21013,68380,266606,30360,89769,109490,2103421,7680,10440,27356,90710,624373,9910,49464,91760,166971,10430,2530,260,2147,6200,29724,5750,20186,39220,40513,481320,8110428,481320,7967116,73580,143312,22160,480916,14780,190528,13720,26775,7090,9671,13360,17128,18470,49089,21720,61796,12780,5789,12050,80136,340,1954,370,399,300,932,18700,115086,1500,16242,39220,59360,498570,9419258,495880,1029893,30,172,16440,12809,251930,305485,6730,505,28260,17653,39650,42574,86910,17988,181800,218317,5350,7089,38910,92181,28500,244479,29560,258023,15030,10187,490520,1959850,141840,316430,127880,281124,126620,249958,28080,25084,8100,8276,351030,724417,376710,833686,50,66,0,0,76740,110562,424270,1230840,420910,1220973,4490,9867
AL,5,274460,94350,131510,40020,248340,12550,157270,179130,587260,182040,4190,1570,740,1880,20,45200,79930,16850625,274460,16999761,233580,12963564,84000,75666,37810,129098,34370,91031,47630,33433,42980,274067,31280,136745,82490,2239805,6880,5380,17062,65970,1022113,10380,96881,68030,149136,8680,2163,350,3204,4710,29940,4820,20190,30570,34342,248560,4763801,248560,4666519,50040,97282,25900,604937,12600,171830,18990,52480,6070,10340,19530,25970,22450,82531,25670,98489,16630,7191,17910,127095,420,2315,640,799,390,1289,22720,168477,1770,21115,32110,76541,273840,11343792,273300,1372819,40,71,5800,14076,127340,283094,9110,1017,17010,9481,21940,27107,23650,3816,101680,230843,3740,8355,27810,73716,6340,58934,8080,74676,5060,4713,269920,1598232,3220,1264,2450,955,26220,45048,15090,13649,1400,1967,245810,1089724,253290,1177318,40,38,0,0,68350,146848,205600,562331,201520,550246,5100,12085
AL,6,174810,35150,123460,13020,159190,7710,102430,109990,429070,131070,1810,410,590,820,0,21210,56310,15149324,174810,15275796,149210,11293000,72090,76181,35030,143426,32100,103356,44590,36650,30670,263754,29430,176841,62310,2159026,5950,3400,11394,46650,970236,9920,129970,48770,126472,7660,2086,360,3623,3650,27549,3470,17218,20200,23500,153340,3346153,153340,3274282,35160,71871,21470,549217,7760,113426,17060,63200,3960,8144,17890,27142,19120,90650,21350,103230,14480,5745,16320,129621,350,1837,640,736,460,2179,19230,169954,1250,18074,26480,79921,174640,11134378,174350,1409280,70,440,2230,9888,83490,235280,9120,1328,15010,8751,16110,20157,0,0,71960,197167,1690,4794,21050,61978,1440,11988,2710,23572,1820,2314,172760,1519685,0,0,0,0,3960,6304,11350,10136,240,317,170100,1174000,171510,1248080,60,47,0,0,48180,135398,126330,402920,122410,388479,4920,14441
AL,7,243720,26580,206440,8040,222680,11440,143600,122490,661630,211760,1770,220,1020,520,0,16380,79700,32741463,243720,33032720,213090,24072418,134880,189503,76780,454445,71530,343528,104870,114631,48830,695566,66790,700572,96360,4496313,9520,3690,13483,59780,1480932,25930,638882,79780,291257,13990,3780,1680,24571,8020,73593,6520,35513,29140,33540,189480,4408261,189480,4315757,43840,92504,54230,1669761,10610,163345,47950,278914,5780,14902,49710,98875,50560,357837,54110,383699,39970,16293,45160,444900,920,4726,2450,1925,1970,8546,50670,596130,2680,52285,51570,262510,243620,26345143,243440,3934488,290,1381,1310,9957,133930,385339,23910,7416,24910,14552,26000,33373,0,0,112200,314860,1450,4442,34460,137528,200,1619,1480,12387,1310,2623,241490,3880365,0,0,0,0,740,1714,21220,19529,20,28,242450,3549149,242830,3719041,1500,457,670,275,98580,417832,144800,571278,136390,510931,10660,60347
AL,8,59560,4880,53170,1040,54890,3100,41780,17190,168210,55740,220,20,170,40,0,1170,22440,16764865,59560,17027916,51790,10355699,45800,160506,34070,495158,32470,395122,32530,70352,16030,773342,32220,985227,25130,1844568,2830,510,1953,14240,404326,19300,1671704,20920,263051,1860,469,2650,72268,6850,85584,1270,11934,0,0,27720,659056,27720,640921,8470,18135,31840,1328806,1670,41447,30180,339368,1560,5292,30260,99534,30810,290546,31800,304348,23950,11989,26420,354902,560,4339,2440,1147,3130,22718,30400,528417,1840,68832,25000,368652,59550,14397915,59530,2790721,560,4024,180,1753,37280,105159,14530,14058,4920,2741,0,0,0,0,25830,72504,140,633,14490,110651,0,0,210,1893,230,934,58860,2774823,0,0,0,0,40,83,0,0,0,0,59440,2685562,59510,2858334,20610,14872,27320,29576,32400,398171,27010,308300,20450,183129,8100,125172
